date;Nb(#);Duration;Amplitude;Magnitude;E(J);Longitude;Latitude;Depth;Type;File;LocMode;LocType;Projection;Operator;Timestamp;ID
20180907 185337.98;1;1.68;Faible;-0.2845569162;23613.731767232;-61.66393115;16.04473992;-0.65234375;VOLCTECT;2018/09/07/ovsg2018rqnkag;manual;earthquake;WGS84;ABU;20180907T185337.98;2018-09#209
20180907 205024.84;1;1.74;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/07/ovsg2018rqrgqt;manual;earthquake;WGS84;VR;20180907T205024.84;2018-09#212
20180907 214938.94;1;2.16;Faible;-0.3160468306;21180.1852405534;-61.66393115;16.0434902;-0.76953125;VOLCTECT;2018/09/07/ovsg2018rqtfsp;manual;earthquake;WGS84;VR;20180907T214938.94;2018-09#211
20180907 222413.14;1;2.76;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/07/ovsg2018rqujmr;manual;earthquake;WGS84;VR;20180907T222413.14;2018-09#213
20180907 222951.96;1;2.64;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/07/ovsg2018rquoix;manual;earthquake;WGS84;VR;20180907T222951.96;2018-09#214
20180908 022455.08;1;3.96;Faible;;;-61.7075;16.0715;0;VOLCTECT;2018/09/08/ovsg2018rrciwt;manual;not locatable;WGS84;ABU;20180908T022455.08;2018-09#217
20180908 030525.86;3;6.78;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/08/ovsg2018rrdrwk;manual;earthquake;WGS84;ABU;20180908T030525.86;2018-09#222
20180908 074039.06;1;2.46;Faible;-0.1024450804;44292.7228993516;-61.66350042;16.04473992;-0.53515625;VOLCTECT;2018/09/08/ovsg2018rrmuzl;manual;earthquake;WGS84;VR;20180908T074039.06;2018-09#225
20180908 075130.72;1;4.44;Faible;0.1968506227;124530.557985268;-61.66306969;16.04432334;-0.65234375;VOLCTECT;2018/09/08/ovsg2018rrnejh;manual;earthquake;WGS84;ABU;20180908T075130.72;2018-09#221
20180908 080852.02;1;2.7;Faible;0.07069373944;80545.3752473981;-61.66306969;16.04390677;-0.41796875;VOLCTECT;2018/09/08/ovsg2018rrnthq;manual;earthquake;WGS84;VR;20180908T080852.02;2018-09#226
20180908 081731.44;1;1.92;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/08/ovsg2018rroatl;manual;earthquake;WGS84;VR;20180908T081731.44;2018-09#228
20180908 082207.50;1;2.1;Faible;0.2060908056;128568.982945852;-61.66328505;16.04369849;-0.4765625;VOLCTECT;2018/09/08/ovsg2018rroesn;manual;earthquake;WGS84;VR;20180908T082207.50;2018-09#227
20180908 083256.88;1;2.52;Faible;0.04821635045;74528.8681343637;-61.66350042;16.04473992;-0.65234375;VOLCTECT;2018/09/08/ovsg2018rrooav;manual;earthquake;WGS84;VR;20180908T083256.88;2018-09#229
20180908 085041.40;1;1.56;Faible;-0.01382153837;60154.4405962486;-61.66393115;16.04473992;-0.53515625;VOLCTECT;2018/09/08/ovsg2018rrpdin;manual;earthquake;WGS84;VR;20180908T085041.40;2018-09#230
20180908 091156.34;1;2.46;Faible;-0.08475298747;47083.6929444068;-61.66306969;16.04432334;-0.53515625;VOLCTECT;2018/09/08/ovsg2018rrpvqq;manual;earthquake;WGS84;VR;20180908T091156.34;2018-09#231
20180908 091721.48;1;2.76;Faible;-0.4121698121;15196.5597455242;-61.66393115;16.04432334;-0.65234375;VOLCTECT;2018/09/08/ovsg2018rrqahz;manual;earthquake;WGS84;VR;20180908T091721.48;2018-09#232
20180908 092105.52;1;2.34;Faible;-0.08385361428;47230.1775912293;-61.66522334;16.04515648;-0.41796875;VOLCTECT;2018/09/08/ovsg2018rrqdnq;manual;earthquake;WGS84;VR;20180908T092105.52;2018-09#233
20180908 115124.72;1;2.58;Faible;-0.2616662674;25556.454253433;-61.66306969;16.04432334;-0.65234375;VOLCTECT;2018/09/08/ovsg2018rrvdbl;manual;earthquake;WGS84;VR;20180908T115124.72;2018-09#234
